X,Y,Z,SIGNAL_STRENGTH
-4.83096,2.27917,3.86322,134.099
-4.72267,2.26079,4.04463,44.573
-3.55761,2.16793,4.72092,108.548
-4.50998,2.19689,4.52802,130.888
-4.89062,2.15558,4.81616,41.399
-5.40712,0.0771707,6.11962,133.416
-3.77052,2.37534,3.15384,51.968
-5.16503,2.22583,4.25662,71.31
-4.994,2.21457,4.34319,116.188
-4.33545,2.20025,4.53806,120.245
-4.78474,2.27027,3.97792,113.412
-0.679548,1.69439,7.74355,31.976
-5.00952,2.22461,4.28239,138.703
-4.51037,2.19553,4.52778,127.426
-4.26619,2.35316,3.02121,69.626
-4.63896,2.17815,4.66303,49.057
-3.46327,2.2224,4.2886,77.868
-3.57227,2.22228,4.29422,95.434
-5.35839,2.20474,4.3986,144.732
-4.86126,2.21843,4.34115,82.618
-3.11389,2.00546,6.01759,59.986
-3.18902,2.4648,2.72539,95.544
0.332131,0.580392,-3.96161,29.477
-5.05091,2.32162,3.58567,98.69
-4.60344,2.21992,4.33674,51.291
-4.85091,2.23723,4.19521,108.562
-3.53729,2.35462,3.17294,104.594
-5.17981,2.15296,4.8161,0
-2.67336,2.33295,3.52738,85.54
-4.36295,2.26788,3.9951,56.697
-5.26785,2.18498,4.56711,63.548
-3.10351,2.33841,3.95791,87.106
4.61773,3.04658,-3.73992,33.91
-3.94867,2.28867,3.82694,0
4.58731,0.627857,-1.78875,0
-4.46636,2.24904,4.15476,51.922
-4.36295,2.26788,3.9951,56.697
-0.0150025,1.06901,2.25522,97.245
-3.607,2.11626,2.53549,0
-4.73346,2.14721,4.91469,0
-1.87041,0.893689,3.40213,0
-4.60951,2.25267,4.08702,0
-4.66999,2.26641,3.99238,0
-4.61478,2.24616,4.10765,0
-4.57627,2.24833,4.09886,0
-4.77569,2.23312,4.23863,0
-4.80985,2.1464,4.88301,0
-4.71754,2.1485,4.92009,0
-4.7073,2.14371,4.93557,0
-3.98953,2.30926,2.94051,0
-3.5789,2.33124,3.05988,0
-4.16188,2.3406,2.99102,0
-4.07689,2.29942,2.89151,0
-4.11528,2.3192,2.92646,0
-3.49495,2.32631,3.0929,0
-4.10469,2.31817,2.92788,0
-4.10469,2.31817,2.92788,0
-2.09921,1.82401,7.08577,0
5.27011,2.59424,-3.15317,0
5.47009,1.61706,-2.9429,0
5.49314,1.26567,-3.14165,0
7.8861,-0.771934,0.486855,0
-3.3668,2.19408,4.58101,127.921
-5.36966,2.17818,4.61486,95.904
-4.85965,2.14868,4.86569,98.844
-4.05246,2.31948,3.59328,153.077
-4.37342,2.10894,5.2293,131.633
-4.20029,2.19801,4.54118,84.186
-3.8475,2.2285,4.2632,187.272
-4.78137,2.26314,3.97858,127.43
-4.17709,2.18453,4.64629,58.011
-3.47346,2.17391,2.7272,97.73
-4.55871,2.11197,5.21353,130.65
-3.63876,2.37822,2.69188,139.605
-5.02008,2.41672,2.9278,0
-4.82085,2.44009,2.65156,92.185
-4.59469,2.11848,5.14929,151.878
-4.47135,2.15886,4.82005,128.889
-5.04326,2.11498,5.11153,135.888
-4.46031,2.22061,4.34452,147.013
-3.37779,2.31529,3.30223,132.074
-5.32025,2.18157,4.59125,98.203
-5.00891,2.25561,4.05432,147.889
-3.42523,2.25838,2.89764,118.078
-4.7164,2.08626,5.44275,120.313
-4.60514,2.09276,5.35953,135.623
-4.66709,2.15191,4.86197,127.405
-4.9309,2.14058,4.9255,145.377
-4.35661,2.20154,4.51194,158.458
-4.44627,2.37958,2.19898,91.954
-4.52745,2.07307,5.40188,0
-4.62331,2.09348,5.38259,158.981
-4.62316,2.09237,5.38389,158.981
-4.5935,2.16212,4.79837,134.622
-4.47854,2.18143,4.6595,167.757
-4.42632,2.18688,4.62063,163.97
-4.91174,2.15466,4.82098,114.089
-4.86029,2.16852,4.74852,0
-4.70369,2.17105,4.70644,149.792
