X,Y,Z,SIGNAL_STRENGTH
-4831,2279,3863,100
-4723,2261,4045,45
-3558,2168,4721,100
-4510,2197,4528,100
-4891,2156,4816,41
-5407,77,6120,100
-3771,2375,3154,52
-5165,2226,4257,71
-4994,2215,4343,100
-4335,2200,4538,100
-4785,2270,3978,100
-680,1694,7744,32
-5010,2225,4282,100
-4510,2196,4528,100
-4266,2353,3021,70
-4639,2178,4663,49
-3463,2222,4289,78
-3572,2222,4294,95
-5358,2205,4399,100
-4861,2218,4341,83
-3114,2005,6018,60
-3189,2465,2725,96
332,580,-3962,29
-5051,2322,3586,99
-4603,2220,4337,51
-4851,2237,4195,100
-3537,2355,3173,100
-5180,2153,4816,0
-2673,2333,3527,86
-4363,2268,3995,57
-5268,2185,4567,64
-3104,2338,3958,87
4618,3047,-3740,34
-3949,2289,3827,0
4587,628,-1789,0
-4466,2249,4155,52
-4363,2268,3995,57
-15,1069,2255,97
-3607,2116,2535,0
-4733,2147,4915,0
-1870,894,3402,0
-4610,2253,4087,0
-4670,2266,3992,0
-4615,2246,4108,0
-4576,2248,4099,0
-4776,2233,4239,0
-4810,2146,4883,0
-4718,2149,4920,0
-4707,2144,4936,0
-3990,2309,2941,0
-3579,2331,3060,0
-4162,2341,2991,0
-4077,2299,2892,0
-4115,2319,2926,0
-3495,2326,3093,0
-4105,2318,2928,0
-4105,2318,2928,0
-2099,1824,7086,0
5270,2594,-3153,0
5470,1617,-2943,0
5493,1266,-3142,0
7886,-772,487,0
-3367,2194,4581,100
-5370,2178,4615,96
-4860,2149,4866,99
-4052,2319,3593,100
-4373,2109,5229,100
-4200,2198,4541,84
-3848,2229,4263,100
-4781,2263,3979,100
-4177,2185,4646,58
-3473,2174,2727,98
-4559,2112,5214,100
-3639,2378,2692,100
-5020,2417,2928,0
-4821,2440,2652,92
-4595,2118,5149,100
-4471,2159,4820,100
-5043,2115,5112,100
-4460,2221,4345,100
-3378,2315,3302,100
-5320,2182,4591,98
-5009,2256,4054,100
-3425,2258,2898,100
-4716,2086,5443,100
-4605,2093,5360,100
-4667,2152,4862,100
-4931,2141,4926,100
-4357,2202,4512,100
-4446,2380,2199,92
-4527,2073,5402,0
-4623,2093,5383,100
-4623,2092,5384,100
-4594,2162,4798,100
-4479,2181,4660,100
-4426,2187,4621,100
-4912,2155,4821,100
-4860,2169,4749,0
-4704,2171,4706,100
-5468,2325,3534,100
-4638,2457,2535,100
-4977,2458,2514,94
-4953,2118,5109,53
-4642,2166,4766,100
-4478,2183,4649,100
-3619,2246,4098,92
-4578,2196,4531,100
-5725,2311,3630,50
-5725,2313,3628,50
-4925,2439,2708,97
-5585,2412,2863,99
-4005,2285,2896,78
-4636,2371,3389,100
-5080,2238,4254,97
-4614,2244,3989,84
-4794,2243,4093,100
-4942,2325,3567,70
-4991,2316,3630,100
-5067,2304,3693,56
-5067,2304,3693,56
-5133,2308,3714,79
-4522,2379,3320,92
-3071,2070,5057,100
-3235,2110,4626,56
