X,Y,Z
-4831,2279,3863
-4723,2261,4045
-3558,2168,4721
-4510,2197,4528
-4891,2156,4816
-5407,77,6120
-3771,2375,3154
-5165,2226,4257
-4994,2215,4343
-4335,2200,4538
-4785,2270,3978
-680,1694,7744
-5010,2225,4282
-4510,2196,4528
-4266,2353,3021
-4639,2178,4663
-3463,2222,4289
-3572,2222,4294
-5358,2205,4399
-4861,2218,4341
-3114,2005,6018
-3189,2465,2725
332,580,-3962
-5051,2322,3586
-4603,2220,4337
-4851,2237,4195
-3537,2355,3173
-5180,2153,4816
-2673,2333,3527
-4363,2268,3995
-5268,2185,4567
-3104,2338,3958
4618,3047,-3740
-3949,2289,3827
4587,628,-1789
-4466,2249,4155
-4363,2268,3995
-15,1069,2255
-3607,2116,2535
-4733,2147,4915
-1870,894,3402
-4610,2253,4087
-4670,2266,3992
-4615,2246,4108
-4576,2248,4099
-4776,2233,4239
-4810,2146,4883
-4718,2149,4920
-4707,2144,4936
-3990,2309,2941
-3579,2331,3060
-4162,2341,2991
-4077,2299,2892
-4115,2319,2926
-3495,2326,3093
-4105,2318,2928
-4105,2318,2928
-2099,1824,7086
5270,2594,-3153
5470,1617,-2943
5493,1266,-3142
7886,-772,487
-3367,2194,4581
-5370,2178,4615
-4860,2149,4866
-4052,2319,3593
-4373,2109,5229
-4200,2198,4541
-3848,2229,4263
-4781,2263,3979
-4177,2185,4646
-3473,2174,2727
-4559,2112,5214
-3639,2378,2692
-5020,2417,2928
-4821,2440,2652
-4595,2118,5149
-4471,2159,4820
-5043,2115,5112
-4460,2221,4345
-3378,2315,3302
-5320,2182,4591
-5009,2256,4054
-3425,2258,2898
-4716,2086,5443
-4605,2093,5360
-4667,2152,4862
-4931,2141,4926
-4357,2202,4512
-4446,2380,2199
-4527,2073,5402
-4623,2093,5383
-4623,2092,5384
-4594,2162,4798
-4479,2181,4660
-4426,2187,4621
-4912,2155,4821
-4860,2169,4749
-4704,2171,4706
-5468,2325,3534
-4638,2457,2535
-4977,2458,2514
-4953,2118,5109
-4642,2166,4766
-4478,2183,4649
-3619,2246,4098
-4578,2196,4531
-5725,2311,3630
-5725,2313,3628
-4925,2439,2708
-5585,2412,2863
-4005,2285,2896
-4636,2371,3389
-5080,2238,4254
-4614,2244,3989
-4794,2243,4093
-4942,2325,3567
-4991,2316,3630
-5067,2304,3693
-5067,2304,3693
-5133,2308,3714
-4522,2379,3320
-3071,2070,5057
-3235,2110,4626
-5537,2200,4419
-4043,2370,3127
-5037,2217,4489
-3880,2262,3853
-4561,2050,5676
-3120,2360,3687
-3120,2360,3687
-4187,2152,4571
-4219,2166,4623
-4578,2159,5593
-2239,2230,3635
-3776,2211,5118
-4960,2221,4281
-5032,2235,4392
-3492,1937,6492
-3035,1962,6834
-5135,2293,3753
-4513,2370,3259
-4655,2235,4189
-4723,2229,4262
-4969,2145,4880
-5170,2290,3766
-4584,2258,3949
-4584,2258,3949
-5073,2239,4350
-5362,2173,4637
-3699,2384,3266
-3752,2381,3297
-3732,2373,3349
-4349,2284,3894
-4426,2256,3938
-4616,2235,4093
-4824,2234,4227
-5080,2203,4466
-4487,2252,4133
-4967,2194,4537
-3510,2429,3389
-3734,2366,3572
-4400,2217,4160
-3355,2364,3344
-3764,2331,3764
-3800,2311,3793
-4905,2180,4837
-4939,2169,4864
-3801,2267,3969
-4490,2193,4569
-4017,2181,4340
-4478,2181,4674
-4766,2145,4905
-4719,2193,4965
-4709,2175,4971
-3708,2247,4210
-3801,2223,4306
-4140,2161,4591
-4837,2116,5107
-3104,2350,3859
-3682,2218,4338
-3041,2332,4048
-3293,2283,4114
-3551,2176,4452
-4472,2093,5355
-4700,2111,5475
-4305,2155,5483
-3404,2160,4744
-4292,2014,5489
-4218,2150,5634
-3480,1942,4634
-4106,2134,5724
-4434,2086,5782
-3152,2146,4945
-4054,2084,6086
-2975,2057,6126
-3519,1973,6632
-3183,1972,6626
-4027,2377,3184
-4255,2364,3423
-3784,2373,3174
-4643,2261,3881
-4737,2263,3934
-5195,2231,4330
-3835,2369,3250
-3887,2378,3381
-4396,2271,3903
-4627,2237,4079
-5043,2223,4447
-5173,2202,4532
-3567,2387,3319
-3567,2387,3319
-3649,2393,3313
-3624,2391,3345
-3603,2394,3367
-3838,2382,3481
-3931,2340,3668
-4138,2312,3749
-4080,2317,3759
-4543,2241,4159
-4650,2219,4188
-4923,2198,4512
-4880,2189,4581
-4760,2187,4595
-5042,2160,4765
-4039,2223,4091
-4793,2203,4745
-4828,2191,4814
-3596,2327,3796
-4418,2178,4621
-3945,2223,4345
-4013,2157,4367
-4844,2121,5082
-3712,2207,4311
-2935,2329,4104
-3408,2198,4453
-3661,2150,4614
-4519,2127,5328
-4560,2071,5407
-4338,2102,5416
-4356,2106,5428
-4578,2045,5647
-3375,1986,4771
-3379,1984,6711
-2490,1876,6684
-3647,2564,2366
-3693,2582,2249
-4113,43158000,3990
-4751,2123,5065
-4601,2087,5357
-2660,2119,5446
-4339,2072,5415
-2739,1853,5963
-2151,2505,2217
-2606,1964,6065
-4786,2137,5062
-4741,2161,5015
-4564,2147,5191
-4933,2228,4378
-4859,2149,4866
-4942,2440,2669
-4967,2164,4893
-4573,2093,5326
-4949,2197,4696
-3764,2320,3568
-3613,2380,3461
-3922,2600,2252
-5154,2253,4075
-5051,2322,3586
-4709,2334,3512
-4694,2195,4864
-4366,2360,3364
-4231,2369,3146
-4274,2376,3447
-4031,2394,2975
-3898,2464,2927
-3903,2458,2928
-3681,2561,2278
-3084,2463,2880
-4808,2287,3703
-4563,2388,3223
-4563,2388,3223
-4263,2543,2437
-4162,2170,4623
-3314,2434,2833
-2786,2453,2501
-4912,2435,2734
-4853,2499,2754
-4766,2381,3278
-4788,2343,3430
